id_pedido,origen,destino,fecha,hora,cantidad,id_cliente,sla_horas,tiene_ruta,num_vuelos,ruta,cumple_sla,tiempo_total_horas,etiqueta
000000951,VIDP,UMMS,20260215,00:38,2,0012949,48,true,2,"VIDP->LDZA | LDZA->UMMS",true,8.77,GA_full
000000857,OPKC,OOMS,20260215,00:55,3,0024366,24,true,1,"OPKC->OOMS",true,3.70,GA_full
000000952,VIDP,SEQM,20260215,01:06,2,0008531,48,true,2,"VIDP->LDZA | LDZA->SEQM",true,11.78,GA_full
000000940,OMDB,SLLP,20260215,00:34,2,0011682,48,true,3,"OMDB->EHAM | EHAM->EBCI | EBCI->SLLP",true,14.03,GA_full
000001027,OAKB,OYSN,20260215,00:37,2,0012263,24,true,1,"OAKB->OYSN",true,5.43,GA_full
000000953,VIDP,SUAA,20260215,01:38,2,0026998,48,true,1,"VIDP->SUAA",true,13.82,GA_full
000000858,OPKC,UBBB,20260215,01:43,3,0023010,24,true,2,"OPKC->OSDI | OSDI->UBBB",true,5.57,GA_full
000000941,OMDB,SEQM,20260215,00:57,2,0031509,48,true,1,"OMDB->SEQM",true,12.98,GA_full
000001049,OOMS,LKPR,20260215,00:58,3,0020371,48,true,2,"OOMS->OPKC | OPKC->LKPR",true,7.37,GA_full
000000954,VIDP,SEQM,20260215,02:01,2,0012924,48,true,2,"VIDP->LDZA | LDZA->SEQM",true,10.87,GA_full
000000886,OYSN,VIDP,20260215,00:02,2,0008421,24,true,1,"OYSN->VIDP",true,9.53,GA_full
000001028,OAKB,OMDB,20260215,01:03,2,0024655,24,true,2,"OAKB->OOMS | OOMS->OMDB",true,4.80,GA_full
000000942,OMDB,SCEL,20260215,01:22,2,0031442,48,true,2,"OMDB->OAKB | OAKB->SCEL",true,16.82,GA_full
000001030,OJAI,SEQM,20260215,00:25,2,0006837,48,true,2,"OJAI->OSDI | OSDI->SEQM",true,9.47,GA_full
000000885,OYSN,OMDB,20260215,00:29,2,0017524,24,true,2,"OYSN->OAKB | OAKB->OMDB",true,13.07,GA_full
000001005,LBSF,LKPR,20260215,00:30,2,0014468,24,true,1,"LBSF->LKPR",true,7.28,GA_full
000000955,VIDP,SUAA,20260215,02:30,2,0022142,48,true,1,"VIDP->SUAA",true,12.95,GA_full
000000859,OPKC,OOMS,20260215,02:32,3,0022903,24,true,1,"OPKC->OOMS",true,2.08,GA_full
000001029,OAKB,VIDP,20260215,01:35,2,0029240,24,true,1,"OAKB->VIDP",true,8.28,GA_full
000000999,UMMS,EKCH,20260215,00:38,2,0015692,24,true,1,"UMMS->EKCH",true,0.75,GA_full
000000999,OERK,EBCI,20260215,00:39,2,0025922,48,true,1,"OERK->EBCI",true,6.58,GA_full
000000937,OSDI,OAKB,20260215,00:42,2,0004390,24,true,1,"OSDI->OAKB",true,6.27,GA_full
000001050,OOMS,SGAS,20260215,01:45,3,0030092,48,true,2,"OOMS->SUAA | SUAA->SGAS",true,11.65,GA_full
000000943,OMDB,SKBO,20260215,01:50,2,0001466,48,true,2,"OMDB->LBSF | LBSF->SKBO",true,13.85,GA_full
000001031,OJAI,LATI,20260215,00:51,2,0015769,48,true,2,"OJAI->OSDI | OSDI->LATI",true,4.33,GA_full
